Code,English Name,Alternative Title text
A01a06,Problem Identification,Problem Sensitivity
A01c01,Memorizing,Significant Use of Memory
A01c02,Multitasking,Time Sharing
A01c04,Pattern Organization Speed,Speed of Closure
A01d02,Spatial Visualization,Spatial Perception
A01d02,Spatial Visualization,Visualization
A02b04,Body Flexibility,Extent Flexibility
A03a01,Arm-Hand Steadiness,Steady motion
A03a01,Arm-Hand Steadiness,Stabilize motions
A03a01,Arm-Hand Steadiness,Arm-hand stability
A03b01,Motor Coordination,Hand-eye coordination
A03c03,Finger-Hand-Wrist Motion,Wrist-Finger Speed
A03c03,Finger-Hand-Wrist Motion,Wrist-finger gesture
A04a01,Auditory Attention,Sound perception
A04a01,Auditory Attention,Effective listening
A04a01,Auditory Attention,Sound attention
A04a02,Hearing Sensitivity,Sound sensitivity
A04b01,Far Vision,Distance vision
A04c01,Colour Perception,Visual Colour Discrimination
A04c04,Touch,Tactile perception
A04c04,Touch,Soft Skills
A04c04,Touch,Social skills
A04c04,Touch,Behavioural skills
A04c04,Touch,Personal qualities
A04c04,Touch,Personal traits
A04c04,Touch,Personal characteristics
A04c04,Touch,Individual characteristics
B01b02,Collaboration,Collaborative
B01b02,Collaboration,Cooperation
B02c01,Active Learning,Intellectual curiosity
B02c01,Active Learning,Lifelong learning
B03a03,Motivation,Showing initiative
B04a01,Reliable,Dependability
B04a03,Being Responsible,Accountable
B04a03,Being Responsible,Sense of Responsibility
B05a02,Analytical Thinking,Innovation
B05b03,Entrepreneurial Spirit,RIASEC codes
C01a06,Conventional,Core skills
C01a06,Conventional,Basic skills
C01a06,Conventional,Fundamental skills
C01a06,Conventional,Basis skills
F01a03,Oral Communication: Oral Expression,Speaking
F01b01,Reading Comprehension,Literacy
F01c01,Numeracy,Mathematics
F01c01,Numeracy,Mathematic
F01c02,Digital Literacy,Digital proficiency
F01c02,Digital Literacy,Digital skills
F01c02,Digital Literacy,Digital competencies
F01c02,Digital Literacy,Digitally fluent
F01c02,Digital Literacy,Digital capabilities
F01c02,Digital Literacy,Digital citizenship
F01c02,Digital Literacy,Digital capacity
F01c02,Digital Literacy,Digital acumen
F01c02,Digital Literacy,Metacognitives
F01c02,Digital Literacy,Meta-cognitive
F01c02,Digital Literacy,Metacognitive
F02a01,Critical Thinking,Critical mindset
F02a02,Learning and Teaching Strategies,Learning Strategies
F02b02,Requirements Analysis,Operations Analysis
F02b05,Problem Solving,Problem solving process
F02b05,Problem Solving,Problem-solving
F02b05,Problem Solving,Hard skills
F03a01,Equipment and Tool Selection,Equipment Selection
F03a02,Preventative Maintenance,Equipment Maintenance
F03a05,Operation Monitoring of Machinery and Equipment,Operation Monitoring
F03a08,Quality Control Testing,Quality Control Analysis
F03a09,Product Design,Technology Design
F05a06,Cross-Cultural Sensitivity,Cross-Cultural Sensitivity
F05a06,Cross-Cultural Sensitivity,Cultural intelligence
F05a06,Cross-Cultural Sensitivity,Worldview-inclusive attitude
F05a07,Managing Conversation,Facilitator
J04b03,Written Communications,Letters and Memos
